2015-07-10 20:04:29 status half-installed libncursesw5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:29 install libtinfo5:armhf <none> 5.9+20140913-1+b1
2015-07-10 20:04:29 status half-installed libtinfo5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:30 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:30 status unpacked libtinfo5:armhf 5.9+20140913-1+b1
2015-07-10 20:04:30 install ncurses-base:all <none> 5.9+20140913-1
2015-07-10 20:04:30 status half-installed ncurses-base:all 5.9+20140913-1
2015-07-10 20:04:30 status unpacked ncurses-base:all 5.9+20140913-1
2015-07-10 20:04:30 status unpacked ncurses-base:all 5.9+20140913-1
2015-07-10 20:04:30 install ncurses-bin:armhf <none> 5.9+20140913-1+b1
2015-07-10 20:04:30 status half-installed ncurses-bin:armhf 5.9+20140913-1+b1
2015-07-10 20:04:30 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2015-07-10 20:04:30 status unpacked ncurses-bin:armhf 5.9+20140913-1+b1
2015-07-10 20:04:31 install libpam-modules:armhf <none> 1.1.8-3.1
2015-07-10 20:04:31 status half-installed libpam-modules:armhf 1.1.8-3.1
2015-07-10 20:04:32 status unpacked libpam-modules:armhf 1.1.8-3.1
2015-07-10 20:04:32 status unpacked libpam-modules:armhf 1.1.8-3.1
2015-07-10 20:04:32 install libpam-modules-bin:armhf <none> 1.1.8-3.1
2015-07-10 20:04:32 status half-installed libpam-modules-bin:armhf 1.1.8-3.1
2015-07-10 20:04:32 status unpacked libpam-modules-bin:armhf 1.1.8-3.1
2015-07-10 20:04:32 status unpacked libpam-modules-bin:armhf 1.1.8-3.1
2015-07-10 20:04:33 install libpam-runtime:all <none> 1.1.8-3.1
2015-07-10 20:04:33 status half-installed libpam-runtime:all 1.1.8-3.1
2015-07-10 20:04:33 status unpacked libpam-runtime:all 1.1.8-3.1
2015-07-10 20:04:33 status unpacked libpam-runtime:all 1.1.8-3.1
2015-07-10 20:04:33 install libpam0g:armhf <none> 1.1.8-3.1
2015-07-10 20:04:33 status half-installed libpam0g:armhf 1.1.8-3.1
2015-07-10 20:04:33 status unpacked libpam0g:armhf 1.1.8-3.1
2015-07-10 20:04:33 status unpacked libpam0g:armhf 1.1.8-3.1
2015-07-10 20:04:34 install libpcre3:armhf <none> 2:8.35-3.3
2015-07-10 20:04:34 status half-installed libpcre3:armhf 2:8.35-3.3
2015-07-10 20:04:34 status unpacked libpcre3:armhf 2:8.35-3.3
2015-07-10 20:04:34 status unpacked libpcre3:armhf 2:8.35-3.3
2015-07-10 20:04:34 upgrade perl-base:armhf 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-07-10 20:04:34 status half-configured perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:34 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:34 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:37 status half-installed perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:37 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:37 status unpacked perl-base:armhf 5.20.2-3+deb8u1
2015-07-10 20:04:37 install libprocps3:armhf <none> 2:3.3.9-9
2015-07-10 20:04:37 status half-installed libprocps3:armhf 2:3.3.9-9
2015-07-10 20:04:37 status unpacked libprocps3:armhf 2:3.3.9-9
2015-07-10 20:04:37 status unpacked libprocps3:armhf 2:3.3.9-9
2015-07-10 20:04:37 install procps:armhf <none> 2:3.3.9-9
2015-07-10 20:04:37 status half-installed procps:armhf 2:3.3.9-9
2015-07-10 20:04:38 status unpacked procps:armhf 2:3.3.9-9
2015-07-10 20:04:38 status unpacked procps:armhf 2:3.3.9-9
2015-07-10 20:04:38 install sed:armhf <none> 4.2.2-4+b1
2015-07-10 20:04:38 status half-installed sed:armhf 4.2.2-4+b1
2015-07-10 20:04:38 status unpacked sed:armhf 4.2.2-4+b1
2015-07-10 20:04:38 status unpacked sed:armhf 4.2.2-4+b1
2015-07-10 20:04:38 install sensible-utils:all <none> 0.0.9
2015-07-10 20:04:38 status half-installed sensible-utils:all 0.0.9
2015-07-10 20:04:38 status unpacked sensible-utils:all 0.0.9
2015-07-10 20:04:39 status unpacked sensible-utils:all 0.0.9
2015-07-10 20:04:39 install login:armhf <none> 1:4.2-3
2015-07-10 20:04:39 status half-installed login:armhf 1:4.2-3
2015-07-10 20:04:40 status unpacked login:armhf 1:4.2-3
2015-07-10 20:04:40 status unpacked login:armhf 1:4.2-3
2015-07-10 20:04:40 install passwd:armhf <none> 1:4.2-3
2015-07-10 20:04:40 status half-installed passwd:armhf 1:4.2-3
2015-07-10 20:04:42 status unpacked passwd:armhf 1:4.2-3
2015-07-10 20:04:42 status unpacked passwd:armhf 1:4.2-3
2015-07-10 20:04:42 install libslang2:armhf <none> 2.3.0-2
2015-07-10 20:04:42 status half-installed libslang2:armhf 2.3.0-2
2015-07-10 20:04:42 status unpacked libslang2:armhf 2.3.0-2
2015-07-10 20:04:42 status unpacked libslang2:armhf 2.3.0-2
2015-07-10 20:04:43 install startpar:armhf <none> 0.59-3
2015-07-10 20:04:43 status half-installed startpar:armhf 0.59-3
2015-07-10 20:04:43 status unpacked startpar:armhf 0.59-3
2015-07-10 20:04:43 status unpacked startpar:armhf 0.59-3
2015-07-10 20:04:43 install libsystemd0:armhf <none> 215-17+deb8u1
2015-07-10 20:04:43 status half-installed libsystemd0:armhf 215-17+deb8u1
2015-07-10 20:04:43 status unpacked libsystemd0:armhf 215-17+deb8u1
2015-07-10 20:04:43 status unpacked libsystemd0:armhf 215-17+deb8u1
2015-07-10 20:04:43 install libudev1:armhf <none> 215-17+deb8u1
2015-07-10 20:04:43 status half-installed libudev1:armhf 215-17+deb8u1
2015-07-10 20:04:43 status unpacked libudev1:armhf 215-17+deb8u1
2015-07-10 20:04:43 status unpacked libudev1:armhf 215-17+deb8u1
2015-07-10 20:04:43 install systemd:armhf <none> 215-17+deb8u1
2015-07-10 20:04:43 status half-installed systemd:armhf 215-17+deb8u1
2015-07-10 20:04:47 status unpacked systemd:armhf 215-17+deb8u1
2015-07-10 20:04:47 status unpacked systemd:armhf 215-17+deb8u1
2015-07-10 20:04:47 install systemd-sysv:armhf <none> 215-17+deb8u1
2015-07-10 20:04:47 status half-installed systemd-sysv:armhf 215-17+deb8u1
2015-07-10 20:04:47 status unpacked systemd-sysv:armhf 215-17+deb8u1
2015-07-10 20:04:47 status unpacked systemd-sysv:armhf 215-17+deb8u1
2015-07-10 20:04:47 install udev:armhf <none> 215-17+deb8u1
